author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Adrian V. S. Hill,2012-3-19,10.1098/rstb.2011.0275,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2011.0275,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2011.0275?download=true,/doi/epdf/10.1098/rstb.2011.0275,The Royal Society,"Evolution, revolution and heresy in the genetics of infectious disease susceptibility"
Hannah M. Rowland,2017-7-5,10.1098/rstb.2016.0350,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0350,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0350?download=true,/doi/epdf/10.1098/rstb.2016.0350,The Royal Society,Human colour in mate choice and competition
Laurel Fogarty,2017-12-5,10.1098/rstb.2016.0428,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0428,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0428?download=true,/doi/epdf/10.1098/rstb.2016.0428,The Royal Society,"The niche construction of cultural complexity interactions between innovations, population size and the environment"
Gregory S. Berns,2012-3-5,10.1098/rstb.2011.0262,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2011.0262,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2011.0262?download=true,/doi/epdf/10.1098/rstb.2011.0262,The Royal Society,The price of your soul neural evidence for the non-utilitarian representation of sacred values
Nicola McGuigan,2017-12-5,10.1098/rstb.2016.0425,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0425,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0425?download=true,/doi/epdf/10.1098/rstb.2016.0425,The Royal Society,Innovation and social transmission in experimental micro-societies exploring the scope of cumulative culture in young children
Stephen M. Fleming,2012-5-19,10.1098/rstb.2012.0021,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0021,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2012.0021?download=true,/doi/epdf/10.1098/rstb.2012.0021,The Royal Society,"Metacognition computation, biology and function"
Douglas H. Erwin,2017-12-5,10.1098/rstb.2016.0422,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0422,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0422?download=true,/doi/epdf/10.1098/rstb.2016.0422,The Royal Society,The topology of evolutionary novelty and innovation in macroevolution
Andreas Wagner,2017-12-5,10.1098/rstb.2016.0416,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0416,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0416?download=true,/doi/epdf/10.1098/rstb.2016.0416,The Royal Society,"Information theory, evolutionary innovations and evolvability"
Simon M. Reader,2016-3-19,10.1098/rstb.2015.0182,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2015.0182,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2015.0182?download=true,/doi/epdf/10.1098/rstb.2015.0182,The Royal Society,Animal and human innovation novel problems and novel solutions
Astrid M. L. Kappers,2011-11-12,10.1098/rstb.2011.0171,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2011.0171,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2011.0171?download=true,/doi/epdf/10.1098/rstb.2011.0171,The Royal Society,Human perception of shape from touch
Byron A Kakulas,2008-11-27,rstb20084014,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4014,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4014?download=true,/doi/epdf/10.1098/rstb.2008.4014,The Royal SocietyLondon,Personal reflections on the neuropathology of kuru
William J Hadlow,2008-11-27,rstb20084013,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4013,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4013?download=true,/doi/epdf/10.1098/rstb.2008.4013,The Royal SocietyLondon,Kuru likened to scrapie the story remembered
Coralie Mathews,2008-11-27,rstb20084019,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4019,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4019?download=true,/doi/epdf/10.1098/rstb.2008.4019,The Royal SocietyLondon,Family life at Okapa as a ‘missus bilong dokta bilong kuru’
author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Aakash Pandey,2024-10-21,rstb20220532,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0532,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0532?download=true,/doi/epdf/10.1098/rstb.2022.0532,The Royal Society,The influence of social and spatial processes on the epidemiology of environmentally transmitted pathogens in wildlife implications for management
Roger S. Zoh,2023-10-23,10.1098/rstb.2022.0227,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0227,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0227?download=true,/doi/epdf/10.1098/rstb.2022.0227,The Royal Society,"Causal models and causal modelling in obesity foundations, methods and evidence"
Shyamalika Gopalan,2022-6-6,10.1098/rstb.2020.0410,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0410,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0410?download=true,/doi/epdf/10.1098/rstb.2020.0410,The Royal Society,Human genetic admixture through the lens of population genomics
Mark A. Jobling,2022-6-6,10.1098/rstb.2020.0422,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0422,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0422?download=true,/doi/epdf/10.1098/rstb.2020.0422,The Royal Society,"Forensic genetics through the lens of Lewontin population structure, ancestry and race"
Hao Shen,2022-6-6,10.1098/rstb.2020.0417,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0417,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0417?download=true,/doi/epdf/10.1098/rstb.2020.0417,The Royal Society,"Diversity and its causes Lewontin on racism, biological determinism and the adaptationist programme"
André Silva Maróstica†,2022-6-6,10.1098/rstb.2020.0420,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0420,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0420?download=true,/doi/epdf/10.1098/rstb.2020.0420,The Royal Society,How HLA diversity is apportioned influence of selection and relevance to transplantation
Jonathan Michael Kaplan†,2022-6-6,10.1098/rstb.2020.0427,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0427,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0427?download=true,/doi/epdf/10.1098/rstb.2020.0427,The Royal Society,"Polygenic risk, population structure and ongoing difficulties with race in human genetics"
