author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
Julyan H. E. Cartwright and Alan L. Mackay,2012-6-28,10.1098/rsta.2012.0106,"['crystallography', 'information', 'complexity', 'materials', 'self-assembly', 'self-organization']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2012.0106,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0106?download=true,/doi/epdf/10.1098/rsta.2012.0106,The Royal Society Publishing,"['crystallography', 'information', 'complexity', 'materials', 'self-assembly', 'self-organization', 'complexity', 'crystallography', 'materials science']",Beyond crystals the dialectic of materials and information
F. Allard and D. Homeier and B. Freytag,2012-6-13,10.1098/rsta.2011.0269,"['PHOENIX', 'CO5BOLD', 'very-low-mass stars', 'brown dwarfs', 'stars', 'opacities']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0269,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0269?download=true,/doi/epdf/10.1098/rsta.2011.0269,The Royal Society Publishing,"['PHOENIX', 'CO5BOLD', 'very-low-mass stars', 'brown dwarfs', 'stars', 'opacities', 'astrobiology', 'astrophysics', 'cosmology', 'extrasolar planets', 'stars']","Models of very-low-mass stars, brown dwarfs and exoplanets"
Elaine S. Oran and Forman A. Williams,2012-2-13,10.1098/rsta.2011.0438,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0438,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0438?download=true,/doi/epdf/10.1098/rsta.2011.0438,The Royal Society Publishing,"['energy', 'fluid mechanics']","The physics, chemistry and dynamics of explosions"
Chris Llewellyn Smith,2012-2-28,10.1098/rsta.2011.0468,"['Large Hadron Collider', 'particle physics', 'CERN']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0468,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0468?download=true,/doi/epdf/10.1098/rsta.2011.0468,The Royal Society Publishing,"['Large Hadron Collider', 'particle physics', 'CERN', 'high-energy physics', 'particle physics']",The Large Hadron Collider lessons learned and summary
Rolf-Dieter Heuer,2012-2-28,10.1098/rsta.2011.0467,"['Large Hadron Collider', 'particle physics', 'CERN']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0467,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0467?download=true,/doi/epdf/10.1098/rsta.2011.0467,The Royal Society Publishing,"['Large Hadron Collider', 'particle physics', 'CERN', 'high-energy physics', 'particle physics']",The future of the Large Hadron Collider and CERN
Axel Kleidon,2012-3-13,10.1098/rsta.2011.0316,"['habitability', 'free energy', 'thermodynamics', 'global change', 'geoengineering']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0316,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0316?download=true,/doi/epdf/10.1098/rsta.2011.0316,The Royal Society Publishing,"['habitability', 'free energy', 'thermodynamics', 'global change', 'geoengineering', 'atmospheric science', 'climatology', 'Gaia theory', 'geochemistry', 'geophysics']",How does the Earth system generate and maintain thermodynamic disequilibrium and what does it imply for the future of the planet
T. M. Lenton and V. N. Livina and V. Dakos and E. H. van Nes and M. Scheffer,2012-3-13,10.1098/rsta.2011.0304,"['climate change', 'tipping point', 'bifurcation', 'early warning', 'deglaciation', 'thermohaline circulation']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0304,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0304?download=true,/doi/epdf/10.1098/rsta.2011.0304,The Royal Society Publishing,"['climate change', 'tipping point', 'bifurcation', 'early warning', 'deglaciation', 'thermohaline circulation', 'climatology', 'complexity', 'mathematical modelling', 'oceanography']",Early warning of climate tipping points from critical slowing down comparing methods to improve robustness
Clare Hobbs and Peter Ashwin and Sebastian Wieczorek and Renato Vitolo and Peter Cox,2013-7-13,10.1098/rsta.2013.0098,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0098,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0098?download=true,/doi/epdf/10.1098/rsta.2013.0098,The Royal Society Publishing,"['applied mathematics', 'climatology', 'differential equations']","Tipping points in open systems bifurcation, noise-included and rate-dependent examples in the climate system"
A. N. Cormack and A. Tilocca,2012-3-28,10.1098/rsta.2011.0371,"['bioactivity', 'structure', 'interfaces', 'bioactivity glasses', 'bioceramics']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2011.0371,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2011.0371?download=true,/doi/epdf/10.1098/rsta.2011.0371,The Royal Society Publishing,"['bioactivity', 'structure', 'interfaces', 'bioactivity glasses', 'bioceramics', 'biomedical engineering', 'materials science']",Structure and biological activity of glasses and ceramics
Nora de Leeuw,2013-7-13,10.1098/rsta.2012.0516,"['surface science', 'interstellar medium']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2012.0516,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0516?download=true,/doi/epdf/10.1098/rsta.2012.0516,The Royal Society Publishing,"['surface science', 'interstellar medium', 'astrochemistry', 'interstellar medium']",Preface
